Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2020,1,1,18.79,16.70,18.79,19.48,20.53,21.57,24.01,26.09,26.79,26.09,22.96,19.83,18.79,19.13,15.31,16.35,15.66,24.70,25.40,26.09,25.40,24.35,23.66,23.31
2020,1,2,23.31,22.96,22.96,23.31,23.31,23.66,24.01,25.40,26.09,26.09,26.09,26.09,26.09,26.09,25.40,25.05,24.35,25.40,25.40,25.05,24.70,24.01,22.61,22.27
2020,1,3,21.57,18.44,16.00,16.00,17.40,18.44,18.09,20.18,22.61,24.01,24.70,22.96,25.75,25.40,25.05,25.05,24.70,22.96,22.96,24.35,25.05,24.35,24.01,24.01
2020,1,4,19.83,16.00,13.22,14.61,17.05,16.70,14.96,17.74,18.09,17.74,17.74,20.18,23.31,25.40,24.70,24.70,23.31,25.40,24.70,22.27,18.44,17.40,17.05,16.35
2020,1,5,16.35,16.00,16.00,16.00,16.00,16.35,16.35,18.44,20.53,19.48,21.57,25.05,25.05,25.40,24.35,24.70,24.35,19.83,20.18,21.92,24.01,24.35,24.01,22.96
2020,1,6,20.87,20.18,19.83,17.05,17.74,17.74,19.13,20.53,20.53,20.53,20.53,20.53,21.57,22.61,22.27,21.92,20.53,22.27,22.61,22.61,21.92,20.18,19.48,19.13
2020,1,7,17.05,16.00,16.00,16.35,16.70,17.40,18.09,19.83,20.53,20.53,20.18,20.18,20.18,20.18,19.13,18.79,18.09,19.48,19.48,19.13,18.79,18.09,17.40,16.70
2020,1,8,21.22,18.09,17.74,21.57,24.01,24.70,25.05,25.40,20.87,20.87,20.53,20.53,20.18,20.18,18.79,18.79,18.44,19.48,19.83,19.48,19.13,18.09,17.40,16.70
2020,1,9,16.35,16.35,16.35,16.35,17.05,18.44,20.53,23.31,25.40,26.09,26.79,25.75,23.31,22.27,18.09,23.31,19.83,22.61,25.75,25.40,24.70,24.01,23.31,22.61
2020,1,10,20.18,19.83,20.87,22.61,22.96,23.31,21.92,22.96,22.96,22.27,22.96,24.01,25.40,25.75,24.70,27.48,24.35,25.05,24.70,24.35,24.35,24.35,22.96,22.61
2020,1,11,22.96,23.31,22.96,22.61,23.31,23.66,23.31,25.05,27.48,27.14,22.61,26.09,35.49,36.18,28.53,33.75,24.01,25.40,25.05,24.70,24.01,23.66,21.22,21.57
2020,1,12,19.83,20.87,17.74,16.70,18.09,18.79,19.48,22.27,23.66,23.66,25.05,25.05,25.05,25.40,24.35,26.79,23.66,24.70,24.70,24.35,24.35,24.01,23.66,23.66
2020,1,13,23.31,22.96,22.96,22.61,23.31,24.01,25.05,26.44,25.75,24.70,25.40,23.66,23.31,22.96,24.35,28.18,24.70,21.92,20.87,23.31,20.53,19.48,19.83,17.74
2020,1,14,18.44,17.40,16.70,16.70,17.40,18.09,20.53,22.27,21.22,21.22,20.87,20.53,21.57,22.27,24.01,26.79,24.35,22.96,24.35,24.70,25.40,24.70,24.70,24.35
2020,1,15,23.31,23.66,22.61,22.96,24.35,24.01,25.75,26.79,26.79,31.66,34.09,34.79,34.09,31.31,26.79,25.40,21.22,16.00,16.00,16.00,15.31,14.26,12.87,12.87
2020,1,16,11.83,12.18,16.70,22.61,22.96,23.66,25.05,26.79,26.79,26.79,27.14,26.44,26.09,26.09,25.40,28.18,26.79,25.75,25.40,22.96,21.57,21.57,18.09,17.05
2020,1,17,16.70,16.70,16.70,16.70,17.05,18.09,18.79,20.53,21.22,20.87,20.87,20.53,20.18,20.18,18.79,21.92,34.44,19.13,19.83,19.13,20.18,20.53,21.92,21.57
2020,1,18,20.53,22.96,22.96,23.66,23.66,24.35,24.70,26.09,26.44,26.79,25.75,24.35,22.96,22.27,19.83,20.53,17.40,15.66,16.00,14.96,15.66,16.35,16.70,19.13
2020,1,19,17.74,17.40,18.09,17.74,16.70,17.05,19.13,21.92,22.61,23.31,21.57,19.48,19.83,19.48,17.40,19.83,16.35,20.18,23.31,24.01,25.40,24.70,24.01,23.31
2020,1,20,23.31,22.96,22.61,22.96,22.96,23.66,24.70,26.09,26.44,26.44,26.79,25.05,21.92,20.87,17.74,20.18,18.79,17.05,17.40,17.40,17.05,17.40,19.13,20.18
2020,1,21,20.87,20.18,19.83,19.13,21.22,22.96,24.35,25.75,27.14,27.14,26.79,27.14,24.70,24.01,24.70,27.83,26.44,26.09,25.75,25.75,25.05,24.70,24.01,23.66
2020,1,22,23.31,23.31,23.31,23.31,23.66,24.35,25.05,26.44,26.09,26.09,26.44,27.14,25.05,23.66,21.92,26.44,25.40,25.75,25.40,25.40,24.70,21.57,23.31,19.83
2020,1,23,22.61,22.61,20.53,17.05,16.70,17.40,18.44,20.18,20.87,20.53,21.57,21.57,20.87,21.22,21.57,25.75,26.09,25.75,26.09,25.40,24.70,24.01,20.53,18.44
2020,1,24,16.70,17.74,20.53,22.27,22.61,23.66,24.01,21.22,26.44,20.87,20.53,20.53,22.96,20.87,20.18,25.05,25.75,25.05,24.70,19.13,18.79,19.48,21.92,22.96
2020,1,25,22.96,22.96,22.61,23.66,23.31,22.96,19.13,19.48,20.18,20.18,19.83,19.83,19.48,19.13,18.09,21.22,19.48,22.96,20.87,20.18,18.79,17.74,17.05,16.70
2020,1,26,16.35,16.35,16.35,16.35,16.35,16.70,18.79,22.96,25.05,21.92,24.70,25.40,25.75,26.09,24.35,26.79,24.70,24.01,25.05,22.61,21.22,19.83,18.09,16.35
2020,1,27,16.35,16.00,16.00,16.35,16.70,17.40,18.44,20.18,20.53,20.53,20.53,20.53,20.18,20.18,18.79,21.92,20.18,22.96,21.22,19.13,18.79,18.09,17.05,16.35
2020,1,28,16.00,16.00,16.00,16.00,16.35,17.05,17.74,19.83,22.27,25.05,25.75,26.44,26.44,26.44,25.75,26.79,26.09,25.40,24.70,25.75,21.92,21.57,20.87,16.35
2020,1,29,16.00,16.00,16.00,16.00,16.35,17.05,17.74,19.83,20.53,20.53,20.53,20.53,20.18,20.18,18.79,21.92,20.18,19.83,19.48,19.13,18.44,19.13,20.18,19.48
2020,1,30,16.70,16.00,16.00,16.00,16.35,17.40,18.09,19.83,20.53,20.53,21.22,22.27,25.40,25.75,25.40,27.83,23.31,24.70,24.70,24.70,21.57,19.83,21.22,19.48
2020,1,31,18.44,22.27,22.27,22.61,23.31,24.01,25.05,24.70,26.44,25.05,21.22,18.09,18.44,17.05,15.31,20.18,22.61,18.44,25.75,24.70,24.01,23.66,23.31,21.92
2020,2,1,20.53,18.44,17.05,19.83,18.09,16.00,16.35,18.44,19.48,19.48,19.48,20.18,23.31,19.13,17.74,21.22,22.61,18.79,20.18,21.22,23.66,22.96,20.87,19.13
